PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
-2.640269923345619,0.12497825968098937,1,3,0
-2.5595468359638014,0.608122536370319,1,3,0
-0.47714931294598867,0.5880347153912528,1,3,0
-0.12185435481698315,1.621796450614498,1,3,0
2.6218039606838883,1.2621653367138836,2,1,1
1.5195749165621686,1.583072975165395,2,1,0
0.6862946242085217,2.608211246055146,1,2,1
-0.08762036620029655,1.7433123930581036,1,2,1
-0.4833662768431844,0.7059693791571912,1,3,0
-1.488101051968376,-1.7090054527077572,0,0,0
0.08224028250217298,-0.5278627253424607,0,0,0
-0.03542300991574887,-0.5784920920702605,0,0,0
-0.3752813195484702,1.1570461275785249,1,3,0
-2.434200886011258,0.5838245012766374,1,3,0
0.021094080771418753,2.564705703795017,1,3,0
3.952926746726721,0.5920556684011311,2,1,1
-1.4149998215256558,-0.7375273770225595,0,0,0
0.3541118984606127,-1.0209313704219534,0,0,0
2.465232374279055,1.1802638426267746,2,1,1
-0.4159874391893561,-1.346382406381388,0,0,0
0.9014654508298272,-0.47896088644409457,0,0,0
1.041949486669691,-2.312183547924525,0,1,1
1.573986699521947,-1.3462226888660336,2,1,-1
-1.7203704716788306,0.8898218305139136,1,3,0
-0.17505112020290986,0.9472593309220743,1,3,0
-0.4700040191083782,1.4861240094585815,1,2,1
-0.03781565845374883,-1.0842036250555935,0,0,0
-0.5570371380275058,-0.617398905913911,0,0,0
1.0375820733136407,-0.8679851520012444,0,1,1
2.743474365854953,0.49074959547907476,2,1,1
1.0596107188264963,1.224008449594544,2,2,1
-0.3956466593612204,-0.7792428974955262,0,2,1
-0.17027644594980418,1.6587738830636432,1,3,0
1.4340964079585623,-1.3404366920088033,0,0,0
-0.08588995912095831,-0.4881593786461742,0,0,0
2.6062865458775013,-0.03544185211489925,2,1,1
0.9180453555928179,0.7561583402744335,2,1,0
-1.9291729341802062,0.1167652911874259,1,3,0
1.0627152593114038,0.27600803246723227,2,1,0
-0.059759226472197925,2.3667545573127913,1,3,0
1.206682009215185,-1.723706387766041,0,0,0
-0.7702747138889433,-2.7285243293833727,0,2,1
-0.5405934533378104,0.41062822664519283,1,3,0
-0.1860672601014052,-1.2251887322993202,0,0,0
-2.0591860253321306,-0.5601334800409806,1,0,0
2.4496108839700814,-3.3280580730046925,0,1,1
-2.0309686227220127,0.08642215119115802,1,3,0
0.7881816693936378,-0.6500963132584959,0,2,1
-1.1756773231442779,1.5648855438911318,1,3,0
-0.3029374205648301,1.668341782606367,1,2,1
-1.5486025473995297,-1.1715041759934155,0,0,0
2.396984321496053,-2.4444453230892313,2,1,-1
0.4034824485234492,1.1244688387174058,1,3,0
0.24225366993278266,-0.901420492537061,0,0,0
-1.3536794794438114,0.18762405880896355,1,3,0
1.0690610694904976,1.2145865499478063,2,1,1
0.9147524658805397,0.826205764118897,2,2,1
-0.5887369197783175,0.8199516236586912,1,3,0
0.15488629672427182,-1.0794572522036354,0,2,1
-1.0227711911844461,1.56741007905398,1,2,1
0.360016072580975,1.0893998790487758,1,2,-1
-1.0598412255820946,2.448256511561846,1,2,1
-0.9158655090472397,-1.9863360996916328,0,0,0
-1.0604272183469106,0.32971701338572906,1,0,0
1.2187122028129973,-1.2297250331140153,0,0,0
0.7856671691717554,-0.15069548758001508,0,0,0
0.043526770907523056,-0.35631977663772374,0,2,-1
-0.03261938045585381,-0.3356498675350736,0,0,0
-1.2863753524103734,0.01182194363275527,1,2,1
1.4146517534827832,0.3178133300107127,2,1,1
1.3095241262006438,-1.0547666393468056,0,0,0
-2.169927706851195,0.018198535051244965,1,0,0
-0.4755238325603376,-0.05986015632733893,1,2,-1
-1.4591719652811508,0.2661395755958853,1,3,0
-0.7204363437091807,-0.8809843978463201,0,2,1
-0.9051844526468092,-0.004728090640525861,1,2,1
-1.9700748318709482,-0.18783908686749212,1,0,0
-0.17505112020290986,0.9472593309220743,1,3,0
0.21985648971499724,-1.592692531623787,0,0,0
-1.6385098741719593,0.014795763245524295,1,3,0
-1.6977412448073599,-0.38403503856776894,1,0,0
-1.3609764511585303,-1.9998714654250485,0,0,0
-1.4031981247555358,-1.2869392291580968,0,0,0
-1.537609879658191,-0.686504399152341,0,0,0
1.9707217634614342,-0.40137726654426176,2,1,1
0.11417851899508046,0.9950699607581374,1,3,0
2.5725884338886957,-2.114257600205946,2,1,1
-2.319375754057587,0.23478722960836274,1,3,0
-0.6613799367651516,0.7535980537681238,1,3,0
0.5778747705455635,-1.8560150217063414,0,0,0
-0.19703599100014693,-0.05174666122473594,1,0,0
-1.0291084684614953,-1.8522938596610152,0,0,0
-0.919837786298323,2.007878047866062,1,3,0
-1.148487837313481,0.8269458031143764,1,2,1
-0.31384691286336774,1.1445176546840201,1,2,1
1.206411142441727,0.884063748013567,2,1,1
2.2591890533351227,-1.2414153049211174,2,1,1
0.7502238142788644,-1.9429891719216097,0,2,1
-2.1321007135420467,-0.9529339394930457,1,0,0
